Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2025-02-26 12:56:24.535 +0530,"Success",0:00:01,0,0,0,"20250226_125624.535/LogFile.txt","","",1
2025-02-26 13:18:02.362 +0530,"Failure",0:00:01,1,0,0,"20250226_131802.362/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'apitest1'",0
2025-02-26 13:18:22.584 +0530,"Failure",0:00:03,1,0,0,"20250226_131822.584/LogFile.txt","","STMaxCallDepthExceeded -- Handlers were called to a depth exceeding the maximum limit (40). HINT: One common cause for this error is a script that has been given the same name as a built-in command or function unintentionally calling itself.",0
2025-02-26 14:15:33.569 +0530,"Failure",0:00:03,1,0,0,"20250226_141533.569/LogFile.txt","","STMaxCallDepthExceeded -- Handlers were called to a depth exceeding the maximum limit (40). HINT: One common cause for this error is a script that has been given the same name as a built-in command or function unintentionally calling itself.",0
2025-02-26 14:16:12.241 +0530,"Failure",0:00:02,1,0,0,"20250226_141612.241/LogFile.txt","","STMaxCallDepthExceeded -- Handlers were called to a depth exceeding the maximum limit (40). HINT: One common cause for this error is a script that has been given the same name as a built-in command or function unintentionally calling itself.",0
2025-02-26 14:16:51.250 +0530,"Failure",0:00:01,1,0,0,"20250226_141651.250/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'apitest1'",0
2025-02-26 14:17:45.207 +0530,"Success",0:00:02,0,0,0,"20250226_141745.207/LogFile.txt","","",1
2025-02-26 14:19:36.701 +0530,"Success",0:00:02,0,0,0,"20250226_141936.701/LogFile.txt","","",1
2025-02-26 14:22:23.425 +0530,"Success",0:00:02,0,0,0,"20250226_142223.425/LogFile.txt","","",1
2025-02-26 14:25:17.539 +0530,"Success",0:00:02,0,0,0,"20250226_142517.539/LogFile.txt","","",1
2025-02-26 14:26:53.546 +0530,"Success",0:00:02,0,0,0,"20250226_142653.546/LogFile.txt","","",1
2025-02-26 14:29:54.254 +0530,"Success",0:00:00,0,1,0,"20250226_142954.254/LogFile.txt","","",1
2025-02-26 14:30:11.922 +0530,"Success",0:00:00,0,1,0,"20250226_143011.922/LogFile.txt","","",1
2025-02-26 14:31:32.681 +0530,"Failure",0:00:00,1,0,0,"20250226_143132.681/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2025-02-26 14:31:42.878 +0530,"Failure",0:00:00,1,0,0,"20250226_143142.878/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2025-02-26 14:31:56.303 +0530,"Success",0:00:00,0,0,0,"20250226_143156.303/LogFile.txt","","",1
2025-02-26 14:36:40.659 +0530,"Success",0:00:00,0,0,0,"20250226_143640.659/LogFile.txt","","",1
2025-02-26 14:38:47.319 +0530,"Success",0:00:00,0,0,0,"20250226_143847.319/LogFile.txt","","",1
2025-02-26 15:22:07.139 +0530,"Success",0:00:00,0,0,0,"20250226_152207.139/LogFile.txt","","",1
2025-02-26 16:26:42.065 +0530,"Success",0:00:00,0,0,0,"20250226_162642.065/LogFile.txt","","",1
2025-02-26 16:27:01.917 +0530,"Success",0:00:00,0,0,0,"20250226_162701.917/LogFile.txt","","",1
2025-02-26 16:27:32.546 +0530,"Success",0:00:00,0,0,0,"20250226_162732.546/LogFile.txt","","",1
2025-02-26 16:37:10.461 +0530,"Success",0:00:00,0,0,0,"20250226_163710.461/LogFile.txt","","",1
2025-02-26 16:37:57.857 +0530,"Success",0:00:00,0,0,0,"20250226_163757.857/LogFile.txt","","",1
2025-02-26 16:51:06.665 +0530,"Success",0:00:00,0,0,0,"20250226_165106.665/LogFile.txt","","",1
2025-02-26 16:51:31.082 +0530,"Success",0:00:00,0,0,0,"20250226_165131.082/LogFile.txt","","",1
2025-02-26 16:51:48.202 +0530,"Success",0:00:00,0,0,0,"20250226_165148.202/LogFile.txt","","",1
2025-02-26 16:54:45.045 +0530,"Success",0:00:01,0,0,0,"20250226_165445.045/LogFile.txt","","",1
2025-02-26 16:56:54.234 +0530,"Success",0:00:02,0,0,0,"20250226_165654.234/LogFile.txt","","",1
2025-02-26 16:57:35.198 +0530,"Success",0:00:02,0,0,0,"20250226_165735.198/LogFile.txt","","",1
2025-02-26 16:58:10.709 +0530,"Success",0:00:01,0,0,0,"20250226_165810.709/LogFile.txt","","",1
2025-02-26 16:58:30.653 +0530,"Success",0:00:01,0,0,0,"20250226_165830.653/LogFile.txt","","",1
2025-02-26 17:03:32.390 +0530,"Success",0:00:01,0,0,0,"20250226_170332.390/LogFile.txt","","",1
2025-02-26 17:03:55.893 +0530,"Success",0:00:02,0,0,0,"20250226_170355.893/LogFile.txt","","",1
2025-02-26 17:04:19.085 +0530,"Success",0:00:01,0,0,0,"20250226_170419.085/LogFile.txt","","",1
2025-02-26 17:04:31.771 +0530,"Success",0:00:01,0,0,0,"20250226_170431.771/LogFile.txt","","",1
2025-02-26 17:05:09.919 +0530,"Failure",0:00:02,1,0,0,"20250226_170509.919/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'code'",0
2025-02-26 17:06:09.497 +0530,"Failure",0:00:02,1,0,0,"20250226_170609.497/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'name'",0
2025-02-26 17:12:04.621 +0530,"Failure",0:00:02,1,0,0,"20250226_171204.621/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'name'",0
2025-02-26 17:12:34.266 +0530,"Failure",0:00:01,1,0,0,"20250226_171234.266/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'name'",0
