Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-10-21 10:51:39.321 +0530,"Success",0:00:01,0,0,0,"20241021_105139.321/LogFile.txt","","",1
2024-10-21 10:52:06.259 +0530,"Success",0:00:01,0,0,0,"20241021_105206.259/LogFile.txt","","",1
2024-10-21 10:52:45.897 +0530,"Success",0:00:03,0,0,0,"20241021_105245.897/LogFile.txt","","",1
2024-10-21 10:53:50.420 +0530,"Success",0:00:05,0,0,0,"20241021_105350.420/LogFile.txt","","",1
2024-10-21 10:54:09.471 +0530,"Success",0:00:05,0,0,0,"20241021_105409.471/LogFile.txt","","",1
2024-10-21 10:55:01.228 +0530,"Success",0:00:05,0,0,0,"20241021_105501.228/LogFile.txt","","",1
2024-10-21 10:56:28.366 +0530,"Success",0:00:05,0,0,0,"20241021_105628.366/LogFile.txt","","",1
2024-10-21 10:57:44.453 +0530,"Failure",0:00:00,1,0,0,"20241021_105744.453/LogFile.txt","","SenseTalk Compiler Exception -- in bbc1:\nSyntax Error at line 7: can't understand ""end"" at character 1",0
2024-10-21 10:57:57.857 +0530,"Success",0:00:06,0,0,0,"20241021_105757.857/LogFile.txt","","",1
2024-10-21 10:58:29.683 +0530,"Failure",0:00:01,1,0,1,"20241021_105829.683/LogFile.txt","","Error Running Script Command -- click Error - Image Property List did not contain ""ImageName"" property",0
2024-10-21 10:58:53.613 +0530,"Success",0:00:06,0,0,0,"20241021_105853.613/LogFile.txt","","",1
2024-10-21 10:59:08.303 +0530,"Success",0:00:06,0,0,0,"20241021_105908.303/LogFile.txt","","",1
2024-10-21 11:03:32.046 +0530,"Failure",0:00:00,1,0,1,"20241021_110332.046/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2024-10-21 11:03:44.486 +0530,"Failure",0:00:00,1,0,1,"20241021_110344.486/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2024-10-21 11:06:22.491 +0530,"Aborted",0:03:08,1,0,1,"20241021_110622.491/LogFile.txt","","",0
2024-10-21 11:09:32.185 +0530,"Failure",0:00:00,1,0,1,"20241021_110932.185/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2024-10-21 11:09:39.017 +0530,"Failure",0:00:00,1,0,1,"20241021_110939.017/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2024-10-21 11:09:57.651 +0530,"Failure",0:00:00,1,0,1,"20241021_110957.651/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2024-10-21 11:10:16.429 +0530,"Aborted",0:00:00,1,0,1,"20241021_111016.429/LogFile.txt","","",0
2024-10-21 11:10:21.738 +0530,"Failure",0:00:00,1,0,1,"20241021_111021.738/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2024-10-21 11:11:17.482 +0530,"Success",0:00:07,0,0,0,"20241021_111117.482/LogFile.txt","","",1
2024-10-21 11:11:35.690 +0530,"Success",0:00:07,0,0,0,"20241021_111135.690/LogFile.txt","","",1
2024-10-21 11:11:58.357 +0530,"Success",0:00:06,0,0,0,"20241021_111158.357/LogFile.txt","","",1
2024-10-21 11:16:15.395 +0530,"Success",0:00:05,0,0,0,"20241021_111615.395/LogFile.txt","","",1
2024-10-21 11:16:46.217 +0530,"Aborted",0:01:05,1,0,1,"20241021_111646.217/LogFile.txt","","",0
2024-10-21 11:17:54.688 +0530,"Aborted",0:00:36,1,0,1,"20241021_111754.688/LogFile.txt","","",0
2024-10-21 11:18:32.315 +0530,"Aborted",0:02:00,1,0,1,"20241021_111832.315/LogFile.txt","","",0
2024-10-21 11:20:33.583 +0530,"Success",0:00:08,0,0,0,"20241021_112033.583/LogFile.txt","","",1
2024-10-21 11:21:04.612 +0530,"Aborted",0:00:45,1,0,0,"20241021_112104.612/LogFile.txt","","",0
2024-10-21 11:21:50.596 +0530,"Success",0:00:08,0,0,0,"20241021_112150.596/LogFile.txt","","",1
2024-10-21 11:22:49.691 +0530,"Success",0:00:12,0,0,0,"20241021_112249.691/LogFile.txt","","",1
2024-10-21 11:26:08.238 +0530,"Failure",0:00:00,1,0,0,"20241021_112608.238/LogFile.txt","","SenseTalk Compiler Exception -- in bbc1:\nSyntax Error at line 11: can't understand [end of script] at character 54",0
2024-10-21 11:28:35.796 +0530,"Failure",0:00:00,1,0,0,"20241021_112835.796/LogFile.txt","","SenseTalk Compiler Exception -- in bbc1:\nSyntax Error at line 18: can't understand [matching quote not found] at character 7",0
2024-10-21 11:28:48.949 +0530,"Failure",0:00:00,1,0,0,"20241021_112848.949/LogFile.txt","","SenseTalk Compiler Exception -- in bbc1:\nSyntax Error at line 18: can't understand [matching quote not found] at character 7",0
2024-10-21 11:29:20.996 +0530,"Success",0:00:12,0,0,0,"20241021_112920.996/LogFile.txt","","",1
2024-10-21 11:51:56.195 +0530,"Success",0:00:13,0,0,0,"20241021_115156.195/LogFile.txt","","",1
