Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-10-14 09:55:35.407 +0530,"Failure",0:00:11,1,0,1,"20241014_095535.407/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: ",0
2024-10-14 09:56:16.098 +0530,"Failure",0:00:00,1,0,1,"20241014_095616.098/LogFile.txt","","No Remote Connection -- click Error - Remote Connection Unavailable",0
2024-10-14 09:58:23.384 +0530,"Failure",0:00:00,1,0,1,"20241014_095823.384/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: ",0
2024-10-14 09:58:40.065 +0530,"Failure",0:00:00,1,0,1,"20241014_095840.065/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: ",0
2024-10-14 09:59:39.598 +0530,"Success",0:00:01,0,0,0,"20241014_095939.598/LogFile.txt","","",1
2024-10-14 10:01:23.282 +0530,"Success",0:00:04,0,0,0,"20241014_100123.282/LogFile.txt","","",1
2024-10-14 10:01:53.433 +0530,"Success",0:00:13,0,0,0,"20241014_100153.433/LogFile.txt","","",1
2024-10-14 10:03:13.419 +0530,"Success",0:00:04,0,0,0,"20241014_100313.419/LogFile.txt","","",1
2024-10-14 10:03:35.828 +0530,"Success",0:00:04,0,0,0,"20241014_100335.828/LogFile.txt","","",1
2024-10-14 10:04:13.523 +0530,"Success",0:00:04,0,0,0,"20241014_100413.523/LogFile.txt","","",1
2024-10-14 10:04:39.894 +0530,"Success",0:00:04,0,0,0,"20241014_100439.894/LogFile.txt","","",1
2024-10-14 10:04:58.552 +0530,"Success",0:00:04,0,0,0,"20241014_100458.552/LogFile.txt","","",1
2024-10-14 10:05:11.245 +0530,"Success",0:00:04,0,0,0,"20241014_100511.245/LogFile.txt","","",1
2024-10-14 10:24:55.041 +0530,"Success",0:00:04,0,0,0,"20241014_102455.041/LogFile.txt","","",1
2024-10-14 10:25:03.892 +0530,"Success",0:00:04,0,0,0,"20241014_102503.892/LogFile.txt","","",1
2024-10-14 10:39:06.768 +0530,"Success",0:00:04,0,0,0,"20241014_103906.768/LogFile.txt","","",1
2024-10-14 10:41:12.662 +0530,"Aborted",0:00:17,1,0,1,"20241014_104112.662/LogFile.txt","","",0
2024-10-14 10:41:31.036 +0530,"Success",0:00:06,0,0,0,"20241014_104131.036/LogFile.txt","","",1
2024-10-14 10:46:06.567 +0530,"Success",0:00:12,0,0,0,"20241014_104606.567/LogFile.txt","","",1
2024-10-14 10:49:07.501 +0530,"Failure",0:00:12,1,0,0,"20241014_104907.501/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '[200,150]' and 'Password'",0
2024-10-14 10:50:25.685 +0530,"Success",0:00:14,0,0,0,"20241014_105025.685/LogFile.txt","","",1
2024-10-14 11:15:10.781 +0530,"Success",0:00:21,0,0,0,"20241014_111510.781/LogFile.txt","","",1
2024-10-14 11:17:06.460 +0530,"Success",0:00:46,0,0,0,"20241014_111706.460/LogFile.txt","","",1
2024-10-14 11:20:50.188 +0530,"Success",0:00:44,0,0,0,"20241014_112050.188/LogFile.txt","","",1
2024-10-14 11:36:23.470 +0530,"Aborted",0:00:11,1,0,1,"20241014_113623.470/LogFile.txt","","",0
2024-10-14 11:36:35.858 +0530,"Success",0:00:30,0,0,0,"20241014_113635.858/LogFile.txt","","",1
2024-10-14 11:39:17.761 +0530,"Success",0:00:50,0,0,0,"20241014_113917.761/LogFile.txt","","",1
2024-10-14 11:45:42.016 +0530,"Aborted",0:00:14,1,0,1,"20241014_114542.016/LogFile.txt","","",0
2024-10-14 11:57:24.386 +0530,"Failure",0:00:00,1,0,0,"20241014_115724.386/LogFile.txt","","SenseTalk Compiler Exception -- in script__image_and_debugging:\nSyntax Error at line 29: can't understand ""temp"" at character 10",0
2024-10-14 11:59:32.743 +0530,"Failure",0:00:00,1,0,0,"20241014_115932.743/LogFile.txt","","SenseTalk Compiler Exception -- in script__image_and_debugging:\nSyntax Error at line 29: can't understand ""temp"" at character 10",0
2024-10-14 12:20:04.387 +0530,"Failure",0:00:00,1,0,0,"20241014_122004.387/LogFile.txt","","SenseTalk Compiler Exception -- in script__image_and_debugging:\nSyntax Error at line 29: can't understand ""temp"" at character 10",0
2024-10-14 12:20:18.574 +0530,"Failure",0:00:00,1,0,0,"20241014_122018.574/LogFile.txt","","SenseTalk Compiler Exception -- in script__image_and_debugging:\nSyntax Error at line 29: can't understand ""temp"" at character 10",0
2024-10-14 12:20:33.281 +0530,"Aborted",0:00:50,1,0,1,"20241014_122033.281/LogFile.txt","","",0
2024-10-14 12:21:27.213 +0530,"Aborted",0:00:15,1,0,1,"20241014_122127.213/LogFile.txt","","",0
2024-10-14 12:21:43.935 +0530,"Aborted",0:00:17,1,0,1,"20241014_122143.935/LogFile.txt","","",0
2024-10-14 12:22:06.126 +0530,"Aborted",0:00:56,1,0,0,"20241014_122206.126/LogFile.txt","","",0
2024-10-14 12:23:06.923 +0530,"Success",0:00:27,0,0,0,"20241014_122306.923/LogFile.txt","","",1
2024-10-14 12:24:02.157 +0530,"Success",0:00:21,0,0,0,"20241014_122402.157/LogFile.txt","","",1
2024-10-14 12:41:02.711 +0530,"Aborted",0:00:12,1,0,1,"20241014_124102.711/LogFile.txt","","",0
2024-10-14 12:41:15.441 +0530,"Success",0:00:28,0,0,0,"20241014_124115.441/LogFile.txt","","",1
2024-10-14 12:43:49.283 +0530,"Aborted",0:00:53,1,0,0,"20241014_124349.283/LogFile.txt","","",0
2024-10-14 12:48:03.552 +0530,"Aborted",0:00:30,1,0,0,"20241014_124803.552/LogFile.txt","","",0
2024-10-14 12:48:39.483 +0530,"Success",0:00:22,0,0,0,"20241014_124839.483/LogFile.txt","","",1
2024-10-14 12:49:26.251 +0530,"Aborted",0:00:16,1,0,0,"20241014_124926.251/LogFile.txt","","",0
2024-10-14 12:49:49.283 +0530,"Success",0:00:27,0,0,0,"20241014_124949.283/LogFile.txt","","",1
