Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Handlerpractice,Success,2,0,2024-10-16 16:25:49 +0530,2024-10-16 16:26:07 +0530,0:00:00
dataconnection,Failure,30,17,2024-10-16 12:54:29 +0530,2024-10-16 15:03:05 +0530,0:00:00
Login,Success,1,0,2024-10-18 15:56:33 +0530,2024-10-18 15:56:33 +0530,0:00:09
Register,Success,1,0,2024-10-18 15:47:51 +0530,2024-10-18 15:47:51 +0530,0:00:30
openapp,Success,1,0,2024-10-18 15:06:57 +0530,2024-10-18 15:06:57 +0530,0:00:01
BBc1,Success,30,11,2024-10-21 10:51:39 +0530,2024-10-21 11:51:56 +0530,0:00:06
Amazon,Success,6,1,2024-10-21 11:57:16 +0530,2024-10-21 12:16:14 +0530,0:00:47
BBc,Success,28,4,2024-10-18 16:18:00 +0530,2025-02-26 16:03:27 +0530,0:00:06
ApiTest-API,Failure,40,11,2025-02-26 12:56:24 +0530,2025-02-26 17:12:34 +0530,0:00:01
master,Failure,22,11,2024-10-16 11:34:45 +0530,2024-10-16 16:28:15 +0530,0:00:12
Demo-API,Success,2,0,2025-02-26 14:17:38 +0530,2025-02-26 16:37:19 +0530,0:00:01
Script, Image and Debugging,Failure,55,13,2024-10-14 09:55:35 +0530,2025-02-25 15:10:52 +0530,0:00:21
Delimiter,Failure,7,3,2024-10-16 15:54:49 +0530,2024-10-16 16:02:07 +0530,0:00:00
